,Подадена руда  от МГТЛ  за денонощието ,Състояние  на склад №2,Натрошена  руда от  Цех ССТ ,Класа_15,Класа_12,Превозена руда  до междинни бункери,Преработена  руда  в цех МФЦ ,Влага на преработената руда,Суха преработена руда,Грано,Unnamed: 13,Unnamed: 15,Unnamed: 17,Unnamed: 19,Unnamed: 21,Unnamed: 23,Метал  мед в рудите по Куриер ,Метал мед в отпадъка по Куриер,Метал мед в концентрата по Куриер,Товарно  извличане ,Добит  меден  концентрат,Влага на медния концентрат,Съдържание  на мед в медния к-т,Метал мед  в медния концентрат ,Литрово  тегло  в сгъстителя,"Меден  концентра, автомобилна везна"
217,4000.0,0.0,8591.0,1.2,3.5,9580.0,13574.0,0.085,12420.210000000001,0.583,7240.98243,1689.1485600000003,3490.0790100000004,2235.6378,6557.87088,4968.084000000001,40.986693,3.3534567,36.752688,0.9113843291523565,190.0,0.088,0.2163,37.480464,1.8,1002.62
218,3300.0,1.0,10655.0,1.4,4.4,11316.0,13732.0,0.092,12468.656,0.593,7393.913008,2568.5431360000002,2506.199856,2231.889424,6658.262304000001,4987.4624,42.019370720000005,3.49122368,40.12044,0.9105685380856517,200.0,0.089,0.2137,38.93614,1.7,998.1
219,4332.0,0.0,9605.0,0.8,4.1,10473.0,13986.0,0.092,12699.288,0.77,9778.45176,685.761552,2235.074688,2654.151192,6489.336168000001,5079.715200000001,40.256742960000004,3.30181488,37.32965600000001,0.9136978869531591,188.0,0.09,0.224,38.321920000000006,1.62,505.9
220,3297.0,2.0,10544.0,0.9,3.9,11317.0,15050.0,0.08,13846.0,0.729,10093.734,2118.438,1633.828,2949.198,7116.844,5538.400000000001,44.445660000000004,3.73842,38.533968,0.9063946368467318,198.0,0.082,0.2154,39.151965600000004,1.65,452.9
221,7230.0,0.0,8874.0,0.8,3.5,9505.0,14604.0,0.083,13391.868,0.693,9280.564524,1968.604596,2142.69888,2531.063052,6722.7177360000005,5222.82852,45.5323512,4.41931644,37.419928,0.8882559656777883,196.0,0.09,0.2141,38.186876000000005,1.62,1004.52
222,5626.0,0.0,7882.0,0.8,3.4,8560.0,13158.0,0.09,11973.78,0.697,8345.72466,1975.6737000000003,1652.3816400000003,2131.33284,6022.81134,4669.774200000001,40.9503276,3.5921339999999997,38.77188,0.9093830719118017,202.0,0.086,0.2132,39.3626896,1.6,993.44
223,5209.0,0.0,7275.0,0.8,3.5,8290.0,13259.0,0.087,12105.467,0.685,8292.244895000002,2433.198867,1380.0232380000002,2057.9293900000002,6331.159241,4721.13213,41.52175181,3.38953076,36.2781153,0.9122982874579605,189.0,0.089,0.223,38.395917000000004,1.56,1002.36
224,5010.0,0.0,8968.0,0.7,4.2,9655.0,14382.0,0.076,13288.968,0.754,10019.881872,1953.478296,1315.6078320000001,2578.059792,6511.59432,5315.587200000001,43.853594400000006,3.72091104,35.676432000000005,0.9060141283894134,176.0,0.091,0.2416,38.6521344,1.65,1006.08
225,5352.0,0.0,7781.0,1.9,4.0,8501.0,14730.0,0.081,13536.87,0.765,10355.70555,1813.9405800000002,1367.2238700000003,2626.1527800000003,7052.70927,5414.7480000000005,43.9948275,3.3842175,40.0160394,0.9235696554081497,207.0,0.089,0.2343,44.1835911,1.6,751.44
226,3353.0,1.0,8191.0,0.8,4.9,8532.0,14743.0,0.086,13475.102,0.765,10308.45303,1792.1885660000003,1374.460404,2870.196726,6427.623654,5390.040800000001,45.95009782,3.7730285599999998,42.125968799999995,0.912840014107693,212.0,0.091,0.223,42.973884,1.65,1001.82
227,5200.0,0.0,9587.0,0.8,3.8,9715.0,14350.0,0.085,13130.25,0.78,10241.595000000001,1746.3232500000001,1142.3317499999998,2639.1802500000003,6630.77625,5120.797500000001,45.5619675,3.6764699999999997,43.6800096,0.9177266231988607,222.0,0.084,0.2187,44.4730824,1.6,1000.28
228,4947.0,1.0,11385.0,0.6,4.5,11429.0,14805.0,0.086,13531.77,0.665,8998.627050000001,1569.68532,2963.45763,2909.33055,6711.75792,5412.7080000000005,48.3084189,4.4654841,43.082465400000004,0.9037641351243872,234.0,0.089,0.2138,45.5766012,1.67,1004.98
229,4677.0,1.0,12104.0,0.7,4.1,12232.0,14882.0,0.084,13631.912,0.772,10523.836064000001,926.9700160000001,2181.10592,2849.069608,6693.268792,5452.764800000001,47.84801112,3.95325448,43.377843600000006,0.912004978262148,228.0,0.091,0.2143,44.4141036,1.65,505.44
230,6334.0,0.0,10777.0,1.0,4.0,10954.0,14766.0,0.072,13702.848,0.782,10715.627136000001,1356.581952,1630.638912,2959.815168,7070.669568,5481.1392000000005,46.17859776,3.97382592,43.2862704,0.9130654150849659,236.0,0.082,0.2057,44.5644936,1.67,782.58
231,5900.0,0.0,8358.0,0.9,4.5,8938.0,14575.0,0.084,13350.7,0.689,9198.6323,1829.0459000000003,2323.0218,2590.0358,7075.871000000001,5206.773,45.659394,4.2722240000000005,42.6885312,0.9032383074769578,219.0,0.084,0.2157,43.270282800000004,1.58,876.24
232,2909.0,0.0,9089.0,1.0,4.8,9416.0,13239.0,0.081,12166.641,0.701,8528.815341,1362.663792,2275.161867,2323.828431,6399.653166,4866.6564,42.09657786,4.01499153,38.533719000000005,0.9033437836217348,215.0,0.079,0.2046,40.51386900000001,1.61,1090.82
233,5842.0,0.0,9089.0,1.0,5.3,9518.0,13213.0,0.081,12142.747000000001,0.545,6617.797115000001,2331.4074240000004,3193.5424610000005,2234.265448,6544.940633000001,4857.098800000001,42.49961450000001,3.7642515700000003,35.7959976,0.895811066340715,186.0,0.084,0.2057,35.0463432,1.63,1055.76
234,3406.0,2.0,7667.0,1.0,4.1,8832.0,13382.0,0.08,12311.44,0.612,7534.60128,2289.9278400000003,2486.9108800000004,2585.4024,6217.2772,4924.576000000001,42.3513536,4.0627752,35.15356800000001,0.8911799501431703,184.0,0.085,0.2139,36.012204000000004,1.58,992.9
235,5237.0,0.0,6770.0,1.0,4.0,7178.0,14425.0,0.081,13256.575,0.607,8046.741025,2492.2361,2717.597875,2863.4202,6628.2875,5302.630000000001,44.542092000000004,4.5072355,36.17676,0.8850080402933115,215.0,0.088,0.1916,37.568928,1.65,989.56
236,6897.0,0.0,5981.0,0.8,4.5,6927.0,15135.0,0.088,13803.12,0.693,9565.56216,1711.58688,2525.97096,2608.7896800000003,7453.684800000001,5383.2168,47.7587952,4.5550296,42.699111,0.8946787248055268,229.0,0.09,0.2026,42.21981400000001,1.64,1261.4
237,2400.0,1.0,8384.0,0.7,3.9,9918.0,15308.0,0.082,14052.744,0.733,10300.661352000001,997.744824,2754.337824,2684.0741040000003,7447.954320000001,5621.097600000001,48.06038448,4.3563506400000005,43.326342,0.9047148231082278,229.0,0.086,0.2139,44.770553400000004,1.7,1250.8
238,14300.0,0.0,16228.0,1.1,4.3,16931.0,15233.0,0.08,14014.36,0.644,9025.24784,3573.6618000000003,1387.42164,2718.78584,7413.59644,5605.744000000001,49.330547200000005,4.4845952,46.250932000000006,0.9056021602228124,244.0,0.09,0.209,46.40636,1.6,1022.92
239,2705.0,0.0,7569.0,1.2,4.1,8460.0,14614.0,0.084,13386.424,0.632,8460.219968000001,3252.901032,1673.303,2382.783472,7322.373928000001,5220.705360000001,47.25407672000001,3.8820629600000003,43.338756599999996,0.9148497435713219,223.0,0.091,0.223,45.203661,1.75,1371.36
240,2939.0,0.0,12254.0,0.9,3.5,12736.0,15044.0,0.084,13780.304,0.653,8998.538512000001,2645.818368,2135.94712,2728.500192,7262.220208000001,5374.318560000001,47.67985184,3.8584851199999997,38.215721200000004,0.9064424979178394,199.0,0.089,0.2241,40.6268649,1.7,576.98
